name,year,miles,color,condition,price
Kia Seltos,2021,"23,936 miles","White exterior, Black interior","No accidents reported, 2 Owners","$22,000"
Chevrolet Traverse,2019,"31,111 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$27,999"
Ford F-150,2018,"157,394 miles","Gray exterior, Gray interior","No accidents reported, 3 Owners","$17,995"
Subaru Crosstrek,2021,"41,707 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$24,991"
Mercedes-Benz GLC,2021,"7,234 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$31,933"
Alfa Romeo Stelvio,2022,68 miles,"White exterior, Black interior","No accidents reported, 1 Owner","$30,460"
Mercedes-Benz E-Class,2020,"23,564 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$38,495"
Mazda Mazda3,2019,"13,488 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$23,074"
Honda Civic,2018,"72,905 miles","White exterior, Beige interior","No accidents reported, 3 Owners","$14,500"
Kia Optima,2020,"55,640 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$14,988"
Land Rover Defender,2023,"7,815 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$74,222"
Toyota Prius,2014,"110,915 miles","Gray exterior, Gray interior","No accidents reported, 3 Owners","$13,695"
Mercedes-Benz GLC,2019,"37,682 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$26,998"
Toyota Tacoma,2022,"33,228 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$35,666"
Kia Forte,2021,"9,443 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$17,995"
BMW X5,2012,"101,835 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$10,400"
Toyota Tacoma,2017,"76,815 miles","Black exterior, Gray interior","1 accident reported, 3 Owners","$27,500"
Volkswagen Tiguan,2020,"23,484 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$19,777"
Nissan Sentra,2021,"44,122 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,891"
Honda Civic,2016,"86,964 miles","Gray exterior, Gray interior","1 accident reported, 4 Owners","$13,399"
Land Rover Defender,2023,"7,815 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$74,222"
Chevrolet Camaro,2011,"138,514 miles","White exterior, Black interior","1 accident reported, 2 Owners","$7,000"
Mercedes-Benz GLE,2021,"21,413 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$42,762"
Honda CR-V,2023,"1,844 miles","White exterior, Black interior","No accidents reported, 1 Owner","$33,688"
Subaru WRX,2016,"43,959 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$21,998"
Ford F-150,2010,"269,638 miles","White exterior, Black interior","No accidents reported, 7 Owners","$6,666"
Mercedes-Benz GLE,2016,"69,891 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$22,998"
Toyota RAV4 Prime,2021,"13,159 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$42,294"
Chevrolet Silverado 1500,2020,"38,367 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$35,998"
BMW X5,2020,"33,059 miles","White exterior, Black interior","No accidents reported, 1 Owner","$37,999"
Jeep Patriot,2015,"147,993 miles","White exterior, Gray interior","No accidents reported, 3 Owners","$6,889"
Dodge Charger,2021,"41,440 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$27,888"
Acura MDX,2020,"32,255 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$29,998"
Toyota Tacoma,2022,"42,477 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$36,500"
Toyota Corolla,2021,"74,064 miles","Red exterior, Black interior","1 accident reported, 1 Owner","$17,994"
Honda Odyssey,2013,"97,773 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$17,998"
Ford Transit Connect Van,2019,"66,478 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,995"
Subaru Crosstrek,2021,"7,485 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$26,300"
Nissan Rogue,2021,"59,839 miles","White exterior, Black interior","No accidents reported, 2 Owners","$19,988"
Ford Transit Passenger Wagon,2016,"245,646 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,995"
Kia Soul,2018,"52,817 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$11,995"
BMW X5,2021,"38,529 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,986"
Chevrolet Malibu,2022,"30,824 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$19,999"
Lexus RX,2020,"29,135 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$36,225"
Chevrolet Silverado 1500,2016,"103,207 miles","White exterior, Black interior","No accidents reported, 2 Owners","$21,995"
Chevrolet Silverado 1500,2023,"15,933 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$53,750"
Honda S2000,2000,"15,600 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$39,998"
BMW X1,2015,"115,152 miles","Black exterior, Brown interior","1 accident reported, 2 Owners","$11,495"
BMW X5,2021,"40,745 miles","White exterior, Black interior","No accidents reported, 2 Owners","$45,999"
Ford Bronco,2022,"5,189 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner","$57,444"
Honda Civic,2020,"36,303 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner","$18,995"
Volkswagen Passat,2021,"63,535 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,987"
Toyota Corolla,2017,"78,733 miles","White exterior, Black interior","1 accident reported, 1 Owner","$13,991"
Ford Explorer,2020,"31,907 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$39,998"
Toyota Corolla,2015,"30,778 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$14,790"
Subaru WRX,2016,"25,253 miles","Red exterior, Black interior","No accidents reported, 3 Owners","$29,998"
Land Rover Range Rover,2007,"108,459 miles","White exterior, White interior","No accidents reported, 4 Owners","$9,995"
Chevrolet Malibu,2022,"33,164 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$19,998"
Nissan Altima,2014,"129,009 miles","White exterior, Black interior","1 accident reported, 2 Owners","$8,895"
Honda Accord,2022,"29,649 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$24,799"
Toyota Corolla,2014,"128,302 miles","White exterior, Gray interior","1 accident reported, 2 Owners","$10,500"
Toyota Corolla,2023,"14,627 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$22,995"
Mercedes-Benz C-Class,2017,"46,904 miles","White exterior, Black interior","3 accidents reported, 3 Owners","$25,998"
Toyota Sienna,2010,"170,124 miles","Black exterior, Gray interior","1 accident reported, 1 Owner","$6,994"
Chevrolet Malibu,2020,"38,029 miles","White exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Porsche Cayenne,2021,"21,991 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$102,167"
Toyota Avalon,2021,"40,595 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$30,998"
BMW X3,2021,"29,388 miles","White exterior, Black interior","No accidents reported, 1 Owner","$29,999"
Audi A3,2023,"1,760 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,995"
BMW 3 Series,2021,"11,716 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$33,999"
Volkswagen Golf,2015,"80,002 miles","White exterior, Gray interior","1 accident reported, 3 Owners","$12,995"
MINI Clubman,2023,"2,081 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,995"
Jeep Grand Cherokee WK,2021,"60,994 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$25,995"
Toyota Tacoma,2019,"117,204 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$19,999"
Nissan Armada,2021,"63,487 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$25,684"
Nissan Sentra,2020,"38,340 miles","White exterior, Black interior","No accidents reported, 2 Owners","$17,400"
Lexus NX,2021,"22,795 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$30,615"
Subaru Legacy,2023,"5,293 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$23,999"
Ford Escape,2020,"21,420 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$21,998"
Mercedes-Benz C-Class,2019,"73,296 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$20,999"
Honda Civic,2021,"21,823 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$22,588"
BMW X3,2020,"18,784 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$29,171"
Chevrolet Malibu,2022,"32,265 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Toyota Mirai,2019,"39,425 miles","Silver exterior, Unknown interior","No accidents reported, 2 Owners","$11,999"
Ford Edge,2013,"98,885 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$9,500"
Kia Rio,2020,"31,644 miles","Black exterior, Black interior","2 accidents reported, 1 Owner","$14,777"
Chevrolet Malibu,2022,"36,517 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$16,499"
Subaru Impreza,2024,"3,804 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$24,469"
BMW X3,2021,"20,466 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$30,763"
Dodge Grand Caravan,2017,"124,407 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$8,995"
Ford Fusion,2018,"68,502 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$18,998"
BMW 3 Series,2011,"108,470 miles","Gray exterior, Unknown interior","No accidents reported, 4 Owners","$7,995"
Ford Explorer,2018,"54,567 miles","Black exterior, Black interior","2 accidents reported, 3 Owners","$19,900"
Mercedes-Benz GLB,2023,"3,837 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$41,886"
Honda Civic,2015,"91,040 miles","Gray exterior, Unknown interior","No accidents reported, 3 Owners","$11,995"
Honda Civic,2012,"46,486 miles","Silver exterior, Gray interior","No accidents reported, 3 Owners","$13,550"
Honda Civic,2017,"26,208 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$23,998"
Honda Accord,2022,"20,280 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$26,994"
BMW X5,2022,"17,842 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$43,988"
Mazda CX-3,2017,"39,086 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$18,998"
Toyota Camry,2020,"34,491 miles","Blue exterior, Black interior","1 accident reported, 1 Owner","$24,998"
Honda Civic,2021,"27,185 miles","White exterior, Black interior","No accidents reported, 1 Owner","$25,998"
Audi A3,2015,"70,811 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$14,895"
Honda Odyssey,2016,"108,986 miles","Blue exterior, Unknown interior","No accidents reported, 1 Owner","$16,998"
Chevrolet Malibu,2022,"37,960 miles","White exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Jaguar F-PACE,2019,"60,812 miles","White exterior, Black interior","1 accident reported, 1 Owner","$19,349"
Chevrolet Malibu,2022,"16,331 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$19,991"
INFINITI Q50,2020,"55,039 miles","Black exterior, Gray interior","1 accident reported, 2 Owners","$22,597"
Kia Soul,2014,"86,698 miles","Brown exterior, Black interior","No accidents reported, 1 Owner","$12,599"
Volvo S90,2022,"2,304 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$42,191"
Ford F-150,2021,"63,699 miles","White exterior, Black interior","No accidents reported, 1 Owner","$33,900"
Honda HR-V,2020,"32,972 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$22,143"
Toyota Prius,2015,"125,159 miles","Gray exterior, Gray interior","No accidents reported, 3 Owners","$13,995"
Dodge Challenger,2019,"64,587 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$21,449"
Volkswagen Jetta,2013,"79,328 miles","White exterior, Unknown interior","1 accident reported, 4 Owners","$13,599"
Mitsubishi Outlander,2019,"89,075 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$10,995"
Subaru Outback,2024,"2,455 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$31,999"
Porsche Macan,2018,"38,205 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$32,295"
Chevrolet Malibu,2022,"30,824 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$19,999"
Ford Econoline Cargo Van,2013,"118,282 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$13,885"
Ram 1500,2019,"48,152 miles","Silver exterior, Black interior","1 accident reported, 3 Owners","$36,998"
Subaru Forester,2017,"99,241 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$14,948"
BMW X3,2021,"10,245 miles","White exterior, Black interior","No accidents reported, 1 Owner","$43,999"
Subaru Forester,2021,"26,650 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$28,649"
Ford Fusion,2020,"43,662 miles","Silver exterior, Unknown interior","1 accident reported, 1 Owner","$19,888"
Nissan Sentra,2023,766 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$20,897"
Honda Civic,2015,"150,105 miles","Gray exterior, Black interior","2 accidents reported, 1 Owner","$8,495"
Toyota Corolla,2022,"34,565 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$19,293"
Subaru Forester,2017,"62,567 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$17,889"
Honda Pilot,2017,"81,643 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$19,495"
Jeep Wrangler,2018,"50,118 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$24,515"
Toyota Camry,2021,"35,679 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$22,007"
Volkswagen Tiguan,2020,"34,893 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,994"
Toyota Sienna,2017,"92,197 miles","Black exterior, Gray interior","No accidents reported, 3 Owners","$22,998"
Mercedes-Benz GLE,2021,"44,380 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$43,829"
Mercedes-Benz S-Class,2007,"85,760 miles","White exterior, Brown interior","2 accidents reported, 3 Owners","$8,995"
Porsche Macan,2023,"4,309 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$52,881"
Kia K5,2021,"10,999 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$25,656"
Kia K5,2022,"18,696 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,991"
Honda Accord,2020,"107,595 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,330"
Land Rover Range Rover,2018,"45,880 miles","Black exterior, Gray interior","No accidents reported, 2 Owners","$46,999"
Toyota Tacoma,2021,"19,950 miles","Green exterior, Gray interior","No accidents reported, 1 Owner","$33,333"
Kia Sportage,2021,"19,216 miles","White exterior, Black interior","No accidents reported, 1 Owner","$20,995"
Toyota Prius,2013,"147,350 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$11,200"
Ram 1500,2020,"8,924 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,998"
Toyota Camry,2020,"34,491 miles","Blue exterior, Black interior","1 accident reported, 1 Owner","$24,998"
Kia Forte,2021,"34,855 miles","White exterior, Black interior","2 accidents reported, 1 Owner","$17,655"
Chevrolet Camaro,2022,"33,204 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$23,900"
Mercedes-Benz E-Class,2022,"5,873 miles","White exterior, Black interior","No accidents reported, 1 Owner","$43,887"
Audi A4,2015,"53,259 miles","Blue exterior, Black interior","No accidents reported, 3 Owners","$17,998"
Mercedes-Benz CL,2011,"108,492 miles","Black exterior, Black interior","2 accidents reported, 4 Owners","$19,987"
Jeep Grand Cherokee,2017,"110,677 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$15,995"
Subaru Forester,2014,"123,549 miles","Red exterior, Gray interior","No accidents reported, 3 Owners","$11,778"
Volkswagen Tiguan,2020,"17,193 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,490"
Subaru Crosstrek,2019,"31,066 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$22,799"
BMW 2 Series,2020,"9,800 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$30,696"
Mercedes-Benz GLA,2023,"5,375 miles","Blue exterior, Beige interior","No accidents reported, 1 Owner","$40,740"
Jeep Cherokee,2021,"11,570 miles","White exterior, Black interior","No accidents reported, 2 Owners","$23,030"
Chrysler 200,2015,"57,578 miles","White exterior, Black interior","No accidents reported, 1 Owner","$14,998"
Mazda Mazda6,2016,"57,157 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$15,995"
Chevrolet Equinox,2023,"3,306 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$25,000"
Kia Sportage,2021,"58,004 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$15,997"
Volkswagen Jetta,2014,"90,795 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$14,998"
Jeep Wrangler,2019,"57,421 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$33,998"
BMW 5 Series,2023,"9,109 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$45,498"
Jeep Wrangler,2020,"41,453 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$29,499"
Kia Forte,2021,"37,385 miles","White exterior, Black interior","No accidents reported, 1 Owner","$14,999"
Toyota Highlander,2021,"43,510 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$37,998"
Cadillac XT4,2021,"14,617 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,995"
Audi Q3,2020,"25,933 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$29,998"
INFINITI QX60,2014,"47,213 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$20,998"
Toyota RAV4,2021,"23,800 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$29,333"
BMW X5,2021,"31,546 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$37,996"
Kia Seltos,2021,"35,836 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$21,392"
Subaru Impreza,2015,"80,234 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$14,998"
Kia Optima,2019,"55,465 miles","Silver exterior, Black interior","2 accidents reported, 4 Owners","$17,998"
Dodge Charger,2019,"42,531 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,700"
Mercedes-Benz GLE,2021,"29,428 miles","White exterior, Black interior","1 accident reported, 1 Owner","$39,998"
Toyota RAV4,2022,"28,068 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$28,998"
Toyota Tacoma,2022,"33,228 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$35,666"
Kia Forte,2022,"31,031 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,500"
Ford Escape,2018,"32,704 miles","White exterior, Black interior","No accidents reported, 2 Owners","$13,987"
Mercedes-Benz A-Class,2020,"23,107 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$26,510"
Jeep Grand Cherokee,2018,"63,600 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$25,998"
Lincoln MKX,2013,"142,018 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$9,998"
Toyota Camry,2007,"153,200 miles","White exterior, Black interior","No accidents reported, 2 Owners","$6,500"
Mercedes-Benz C-Class,2019,"16,529 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$28,998"
Toyota Camry,2020,"40,875 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$21,488"
Jeep Wrangler,2015,"105,409 miles","White exterior, Black interior","No accidents reported, 3 Owners","$18,999"
Chevrolet Silverado 1500 LTD,2022,"41,168 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,488"
Lexus IS,2006,"115,134 miles","Unknown exterior, Unknown interior","No accidents reported, 3 Owners","$8,995"
Nissan Sentra,2021,"24,044 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Audi Q5,2020,"22,534 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$31,888"
Chrysler 300,2016,"163,262 miles","Black exterior, Beige interior","No accidents reported, 2 Owners","$11,997"
Honda CR-Z,2015,"75,078 miles","Blue exterior, Black interior","No accidents reported, 4 Owners","$16,998"
Land Rover Range Rover Sport,2014,"84,884 miles","White exterior, White interior","No accidents reported, 1 Owner","$22,995"
Chevrolet Camaro,2022,"36,151 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,400"
GMC Yukon,2016,"95,999 miles","White exterior, Brown interior","No accidents reported, 3 Owners","$25,987"
Toyota Camry,2020,"36,853 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$23,998"
Alfa Romeo Stelvio,2022,64 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$35,688"
Chevrolet Malibu,2018,"84,208 miles","White exterior, Black interior","No accidents reported, 3 Owners","$10,995"
Nissan Versa,2016,"69,957 miles","White exterior, Black interior","No accidents reported, 2 Owners","$9,988"
Jeep Grand Cherokee,2017,"110,677 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$15,995"
Audi A3,2023,"3,670 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,894"
Honda Civic,2020,"36,303 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner","$18,995"
BMW X5,2020,"33,059 miles","White exterior, Black interior","No accidents reported, 1 Owner","$37,999"
BMW 5 Series,2023,"5,533 miles","White exterior, Brown interior","No accidents reported, 1 Owner","$52,292"
Mercedes-Benz E-Class,2021,"9,624 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$42,892"
Ford F-150,2019,"112,327 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$19,998"
BMW X7,2021,"23,145 miles","White exterior, Black interior","No accidents reported, 1 Owner","$70,498"
Subaru Outback,2023,"6,283 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$35,900"
Toyota Tundra,2023,"6,478 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$61,333"
Ram ProMaster Cargo Van,2021,"67,050 miles","White exterior, Black interior","No accidents reported, 1 Owner","$29,988"
Subaru Outback,2023,"5,688 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$34,600"
Jeep Gladiator,2020,"38,465 miles","White exterior, Black interior","No accidents reported, 1 Owner","$28,799"
Hyundai Tucson,2019,"50,496 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$18,998"
Ford F-150,2020,"64,447 miles","Black exterior, Gray interior","1 accident reported, 2 Owners","$31,998"
Toyota Corolla,2021,"53,024 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$18,099"
Honda Accord,2021,"34,447 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,498"
Lexus RX,2018,"50,215 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$27,986"
Ford F-150,2017,"58,726 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$25,995"
Ford Explorer,2020,"44,280 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$25,606"
Mercedes-Benz C-Class,2020,"37,120 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$28,222"
Audi A3,2023,"3,670 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,894"
Ford F-150,2010,"95,812 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$13,345"
Toyota RAV4,2021,"18,448 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$35,998"
Toyota Camry,2016,"106,742 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$13,778"
Honda Odyssey,2012,"122,285 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$14,998"
Toyota Corolla,2021,"29,450 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,731"
Toyota Sienna,2020,"10,093 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$35,666"
Audi Q3,2020,"24,398 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner","$25,725"
Jeep Grand Cherokee,2020,"42,885 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$27,994"
Lexus RC,2017,"109,119 miles","White exterior, Red interior","2 accidents reported, 1 Owner","$20,845"
Subaru Outback,2024,"6,157 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$33,359"
Nissan Altima,2020,"58,459 miles","Gray exterior, Black interior","1 accident reported, 4 Owners","$19,998"
Mercedes-Benz GLC,2022,"27,894 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$29,999"
Honda CR-V,2018,"56,283 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$21,998"
Toyota Corolla,2021,"9,762 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$22,953"
Subaru Outback,2023,"2,220 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$38,600"
Chevrolet Camaro,2020,"80,497 miles","White exterior, Black interior","1 accident reported, 3 Owners","$30,987"
Mercedes-Benz C-Class,2019,"49,842 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$25,163"
Honda Civic,2020,"41,624 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$19,251"
BMW 2 Series,2022,"8,177 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,997"
Chevrolet Malibu,2022,"30,848 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$18,998"
Subaru BRZ,2022,"21,000 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$28,998"
Kia Soul,2020,"66,114 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$13,900"
Honda Civic,2020,"19,869 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$20,469"
Honda CR-V,2012,"91,988 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$12,495"
Honda Civic,2015,"53,941 miles","Gray exterior, Black interior","2 accidents reported, 2 Owners","$14,708"
Volkswagen Golf Alltrack,2017,"96,810 miles","Black exterior, Beige interior","1 accident reported, 1 Owner","$17,176"
Honda Civic,2012,"127,177 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$8,995"
Mercedes-Benz S-Class,2019,"48,491 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$49,499"
Mercedes-Benz A-Class,2021,"34,576 miles","Blue exterior, Black interior","No accidents reported, 3 Owners","$26,510"
Audi A3,2023,"2,266 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Subaru Outback,2020,"25,038 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$28,998"
Mercedes-Benz Metris Cargo Van,2020,"45,405 miles","Blue exterior, Black interior","1 accident reported, 2 Owners","$26,995"
Ford Explorer,2018,"54,567 miles","Black exterior, Black interior","2 accidents reported, 3 Owners","$19,900"
Chevrolet Silverado 1500,2019,"76,920 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$31,998"
Subaru Outback,2024,"2,455 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$31,999"
Lexus UX,2020,"18,708 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$26,991"
Nissan Altima,2015,"101,629 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$12,599"
Land Rover Range Rover Evoque,2014,"81,607 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$14,995"
BMW 5 Series,2023,"14,651 miles","White exterior, Black interior","No accidents reported, 1 Owner","$44,998"
Mercedes-Benz CLA,2020,"25,905 miles","White exterior, Black interior","No accidents reported, 2 Owners","$36,966"
BMW 3 Series,2015,"60,478 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$16,998"
Ford Fusion,2016,"95,995 miles","Gray exterior, Gray interior","1 accident reported, 3 Owners","$10,495"
Volvo S90,2022,"2,304 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$42,191"
Mercedes-Benz Metris Cargo Van,2020,"45,405 miles","Blue exterior, Black interior","1 accident reported, 2 Owners","$26,995"
Toyota RAV4,2022,"32,879 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner","$24,988"
